row,userUUID,name,email,region,subRegion,city,facebookID,facebookFriends,twitterID,twitterFollowers
63,uu63,Adina Ausmus ,adina@gmail.com,USA,TX,Dallas,adina@fb.com,"uu50,uu87,uu79,uu18,uu97,uu36",@adina,"uu49,uu76,uu48,uu46,uu87,uu97,uu53,uu78,uu65,uu93,uu32,uu12,uu37,uu19,uu96"
28,uu28,Albert Adamczyk ,albert@gmail.com,USA,CA,San Francisco,albert@fb.com,"uu44,uu66,uu22,uu48,uu94,uu86",@albert,"uu81,uu62,uu77,uu26,uu29,uu83,uu88,uu32,uu20,uu29,uu95,uu31,uu91,uu57,uu59"
73,uu73,Alexa Abila ,alexa@gmail.com,EU,GB,London,alexa@fb.com,"uu76,uu42,uu34,uu66,uu6,uu88",@alexa,"uu86,uu70,uu61,uu5,uu76,uu63,uu45,uu66,uu2,uu36,uu87,uu73,uu5,uu39,uu41"
37,uu37,Alfred Arcuri ,alfred@gmail.com,USA,UT,Provo,alfred@fb.com,"uu63,uu7,uu58,uu55,uu37,uu55",@alfred,"uu5,uu77,uu55,uu86,uu72,uu52,uu3,uu41,uu75,uu5,uu96,uu14,uu69,uu67,uu75"
11,uu11,Aliza Albrecht ,aliza@gmail.com,USA,CA,Los Angeles,aliza@fb.com,"uu10,uu22,uu94,uu60,uu8,uu72",@aliza,"uu70,uu93,uu72,uu4,uu34,uu23,uu32,uu14,uu19,uu4,uu34,uu97,uu46,uu37,uu88"
23,uu23,Alonzo Alaniz ,alonzo@gmail.com,USA,NY,New York,alonzo@fb.com,"uu19,uu11,uu92,uu8,uu14,uu59",@alonzo,"uu34,uu92,uu25,uu60,uu63,uu16,uu11,uu66,uu38,uu66,uu48,uu87,uu92,uu76,uu90"
79,uu79,Alonzo Astin ,alonzo2@gmail.com,EU,DE,Dresden,alonzo2@fb.com,"uu6,uu19,uu56,uu27,uu82,uu79",@alonzo2,"uu99,uu87,uu2,uu94,uu73,uu12,uu46,uu14,uu53,uu95,uu34,uu17,uu80,uu33,uu48"
49,uu49,Anastasia Asberry ,anastasia@gmail.com,USA,UT,Salt Lake City,anastasia@fb.com,"uu72,uu19,uu91,uu18,uu10,uu38",@anastasia,"uu83,uu60,uu35,uu70,uu4,uu62,uu26,uu63,uu75,uu86,uu28,uu52,uu45,uu68,uu33"
35,uu35,Arletha Azevedo ,arletha@gmail.com,USA,UT,Provo,arletha@fb.com,"uu2,uu98,uu29,uu96,uu40,uu27",@arletha,"uu68,uu69,uu86,uu72,uu31,uu68,uu90,uu29,uu48,uu33,uu46,uu100,uu20,uu49,uu58"
47,uu47,Barney Brode ,barney@gmail.com,USA,UT,Salt Lake City,barney@fb.com,"uu63,uu10,uu81,uu73,uu27,uu73",@barney,"uu92,uu66,uu74,uu56,uu47,uu82,uu69,uu89,uu5,uu82,uu81,uu60,uu36,uu10,uu94"
69,uu69,Basilia Bobadilla ,basilia@gmail.com,EU,GB,London,basilia@fb.com,"uu62,uu18,uu40,uu5,uu59,uu96",@basilia,"uu40,uu100,uu10,uu39,uu16,uu31,uu26,uu74,uu47,uu88,uu77,uu1,uu17,uu48,uu52"
36,uu36,Berta Burchill ,berta@gmail.com,USA,UT,Provo,berta@fb.com,"uu53,uu14,uu52,uu26,uu79,uu97",@berta,"uu76,uu73,uu82,uu16,uu75,uu71,uu71,uu32,uu74,uu76,uu3,uu4,uu42,uu43,uu15"
46,uu46,Bethanie Bober ,bethanie@gmail.com,USA,UT,Salt Lake City,bethanie@fb.com,"uu15,uu42,uu20,uu87,uu72,uu89",@bethanie,"uu28,uu58,uu97,uu81,uu57,uu75,uu82,uu1,uu59,uu54,uu51,uu5,uu55,uu52,uu28"
43,uu43,Branda Beauchamp ,branda@gmail.com,USA,UT,Salt Lake City,branda@fb.com,"uu4,uu6,uu76,uu45,uu3,uu27",@branda,"uu6,uu92,uu32,uu54,uu52,uu86,uu69,uu94,uu37,uu17,uu66,uu93,uu99,uu82,uu19"
95,uu95,Breana Beaudoin ,breana2@gmail.com,EU,SE,Malmo,breana2@fb.com,"uu64,uu34,uu34,uu33,uu34,uu73",@breana2,"uu79,uu72,uu38,uu40,uu40,uu43,uu94,uu92,uu77,uu23,uu25,uu85,uu2,uu38,uu42"
20,uu20,Brianne Buelow ,brianne@gmail.com,USA,NY,New York,brianne@fb.com,"uu49,uu97,uu75,uu14,uu36,uu8",@brianne,"uu80,uu76,uu15,uu52,uu7,uu4,uu58,uu8,uu4,uu69,uu56,uu86,uu79,uu21,uu99"
7,uu7,Bryce Merkl Sasaki,bryce@gmail.com,USA,CA,Palo Alto,bryce@fb.com,"uu49,uu95,uu85,uu35,uu97,uu59",@bryce,"uu20,uu37,uu28,uu56,uu26,uu86,uu77,uu32,uu17,uu90,uu86,uu65,uu59,uu95,uu25"
65,uu65,Carri Colas ,carri@gmail.com,USA,TX,Dallas,carri@fb.com,"uu38,uu28,uu49,uu52,uu76,uu80",@carri,"uu12,uu12,uu55,uu89,uu1,uu26,uu57,uu87,uu93,uu52,uu100,uu41,uu98,uu42,uu28"
67,uu67,Casimira Clyburn ,casimira@gmail.com,USA,TX,Dallas,casimira@fb.com,"uu76,uu44,uu56,uu86,uu48,uu89",@casimira,"uu70,uu43,uu56,uu82,uu60,uu99,uu100,uu29,uu87,uu13,uu73,uu75,uu27,uu64,uu23"
88,uu88,Cathryn Cascio ,cathryn@gmail.com,EU,IT,Rome,cathryn@fb.com,"uu16,uu4,uu87,uu46,uu95,uu67",@cathryn,"uu81,uu95,uu10,uu88,uu29,uu63,uu27,uu78,uu23,uu56,uu34,uu24,uu97,uu66,uu60"
41,uu41,Catrice Crays ,catrice@gmail.com,USA,UT,Salt Lake City,catrice@fb.com,"uu43,uu89,uu48,uu56,uu81,uu13",@catrice,"uu54,uu86,uu41,uu15,uu51,uu98,uu93,uu66,uu33,uu64,uu15,uu27,uu48,uu30,uu79"
38,uu38,Claretta Corrales ,claretta@gmail.com,USA,UT,Provo,claretta@fb.com,"uu89,uu78,uu56,uu12,uu32,uu94",@claretta,"uu57,uu28,uu73,uu90,uu36,uu58,uu63,uu93,uu12,uu49,uu26,uu3,uu53,uu77,uu47"
66,uu66,Claudine Carrow ,claudine@gmail.com,USA,TX,Dallas,claudine@fb.com,"uu93,uu21,uu65,uu28,uu85,uu68",@claudine,"uu53,uu82,uu61,uu6,uu43,uu41,uu54,uu59,uu52,uu39,uu50,uu88,uu54,uu5,uu90"
33,uu33,Corrie Calabrese ,corrie@gmail.com,USA,UT,Provo,corrie@fb.com,"uu12,uu71,uu23,uu95,uu48,uu19",@corrie,"uu2,uu3,uu73,uu53,uu9,uu36,uu70,uu94,uu19,uu36,uu90,uu55,uu13,uu98,uu86"
64,uu64,Darci Diggins ,darci@gmail.com,USA,TX,Dallas,darci@fb.com,"uu68,uu45,uu43,uu83,uu7,uu11",@darci,"uu37,uu86,uu37,uu8,uu60,uu56,uu15,uu40,uu65,uu36,uu39,uu70,uu22,uu49,uu76"
83,uu83,Dario Derrico ,dario@gmail.com,EU,DE,Berlin,dario@fb.com,"uu10,uu3,uu50,uu61,uu83,uu42",@dario,"uu65,uu90,uu43,uu59,uu61,uu98,uu94,uu7,uu29,uu40,uu81,uu16,uu40,uu93,uu30"
